text,intent,intent_prediction
sebutkan daftar mk yang memiliki sks 4,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999998807907104}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999998807907104}]"
sebutkan daftar mk yang memiliki sks 3,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999998807907104}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999998807907104}]"
sebutkan daftar mk yang memiliki sks 2,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999998807907104}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999998807907104}]"
tampilkan daftar mk pada semester 7,TanyaMataKuliah,"[{'name': 'TanyaMataKuliah', 'confidence': 0.9999996423721313}, {'name': 'TanyaMataKuliah', 'confidence': 0.9999996423721313}]"
Minta daftar dosen yang berjurusan teknik informatika,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999999403953552}, {'name': 'TanyaDosen', 'confidence': 0.9999999403953552}]"
Sebutkan nama dosen dengan nomor induk pegawai mengandung angka 001 dan berjenis kelamin pria,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999999403953552}, {'name': 'TanyaDosen', 'confidence': 0.9999999403953552}]"
tampilkan daftar nama dosen,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.999998927116394}, {'name': 'TanyaDosen', 'confidence': 0.999998927116394}]"
Berikan data dosen pembimbing dari mahasiswa yang bernama Adi,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999997615814209}, {'name': 'TanyaDosen', 'confidence': 0.9999997615814209}]"
Berikan data dosen pembimbing dari mahasiswa yang bernama Febyk,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999998807907104}, {'name': 'TanyaDosen', 'confidence': 0.9999998807907104}]"
Berikan data dosen pembimbing dari mahasiswa yang bernama Nadia,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999998807907104}, {'name': 'TanyaDosen', 'confidence': 0.9999998807907104}]"
Berapa NIP dosen dengan nama abdiansyah ?,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999992847442627}, {'name': 'TanyaDosen', 'confidence': 0.9999992847442627}]"
Tampilkan profil dosen dengan nama berawalan kata nabila,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999998807907104}, {'name': 'TanyaDosen', 'confidence': 0.9999998807907104}]"
Siapa dosen PA mahasiswa yang memiliki NIM 0902118182XXXX ?,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999912977218628}, {'name': 'TanyaDosen', 'confidence': 0.9999912977218628}]"
Siapa dosen pembimbing dari mahasiswa dengan nim xxxxxxxx,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999992847442627}, {'name': 'TanyaDosen', 'confidence': 0.9999992847442627}]"
Berapa nip dosen yang bernama qurhanul ?,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 1.0}, {'name': 'TanyaDosen', 'confidence': 1.0}]"
Berapa nip dosen yang memiliki nama naufal ?,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 1.0}, {'name': 'TanyaDosen', 'confidence': 1.0}]"
Siapa saja dosen teknik informatika yang berjenis kelamin perempuan ?,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 1.0}, {'name': 'TanyaDosen', 'confidence': 1.0}]"
Siapa saja dosen yang berjenis kelamin laki-laki ?,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 1.0}, {'name': 'TanyaDosen', 'confidence': 1.0}]"
tampilkan data dosen,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999980330467224}, {'name': 'TanyaDosen', 'confidence': 0.9999980330467224}]"
Tampilkan dosen PA dari mahasiswa,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999983906745911}, {'name': 'TanyaDosen', 'confidence': 0.9999983906745911}]"
Cari nama dosen laki laki teknik informatika,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 1.0}, {'name': 'TanyaDosen', 'confidence': 1.0}]"
Siapa saja dosen dari jurusan teknik informatika yang berjenis kelamin laki-laki ?,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 1.0}, {'name': 'TanyaDosen', 'confidence': 1.0}]"
sebutkan nomor induk pegawai dari dosen yang memiliki nama mengandung kata santoso,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999999403953552}, {'name': 'TanyaDosen', 'confidence': 0.9999999403953552}]"
Temukan nama dosen yang memiliki NIP 909231902,TanyaDosen,"[{'name': 'TanyaDosen', 'confidence': 0.9999992847442627}, {'name': 'TanyaDosen', 'confidence': 0.9999992847442627}]"
Carikan data mahasiswa yang angkatan 2018 dan berjenis kelamin lelaki,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
tampilkan data mahasiswa dengan nomor induk mahasiswa yaitu 09021181823168,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Tolong berikan daftar nama mahasiswa yang berjenis kelamin wanita,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
tampilkan mahasiswa dengan dosen pembimbing abdiansyah,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.999989926815033}, {'name': 'TanyaMahasiswa', 'confidence': 0.999989926815033}]"
"tampilkan nama, angkatan, dan program studi mahasiswa dengan nomor induk mahasiswa diakhiri angka 20 dan tahun angkatan dibawah 2018",TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}]"
Temukan data mahasiswa dengan nama adi,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}]"
Temukan nama mahasiswa yang memiliki NIM 09021181823168,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Siapa nama mahasiswa yang memiliki NIM 09021281823039 ?,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Berapa IPK mahasiswa dengan NIM 0902181823003 ?,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999987483024597}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999987483024597}]"
berapa nilai suliet mahasiswa dengan nim 09021181823003,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999998211860657}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999998211860657}]"
Carikan data mahasiswa dengan NIM 09021281823051,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999993443489075}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999993443489075}]"
sebutkan Indeks Prestasi Kumulatif mahasiswa dengan nim 0902xxxxx,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Siapa nama mahasiswa yang memiliki NIM 0902118182XXXX ?,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999878406524658}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999878406524658}]"
Tampilkan data mahasiswa yang bernama Dahlia,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
temukan nama mahasiswa yang memiliki nim 0902118xxxx,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}]"
Tampilkan mahasiswa teknik informatika angkatan 2017,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999986886978149}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999986886978149}]"
Berapa nim mahasiswa dengan nama mengandung kata virani ?,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Tampilkan daftar nama mahasiswa yang berjenis kelamin perempuan pada jurusan Informatika angkatan 2018,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Tampilkan daftar nama mahasiswa yang berjenis kelamin pria,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
tampilkan nama mahasiswa yang jenis kelaminnya perempuan,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
temukan mahasiswa yang berjenis kelamin wanita,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
"berikan data nim, dan nama seluruh mahasiswa",TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Siapakah mahasiswa dengan NIM 09021281823172 ?,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}]"
Tampilkan data NIM seluruh mahasiswa yang angkatan 2018,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}]"
siapa nama mahasiswa dan tahun angkatan dengan nim 09021281823057,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999997019767761}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999997019767761}]"
Siapa nama mahasiswa yang memiliki nim 09021281823057,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Tampilkan angkatan dari mahasiswa,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999998807907104}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999998807907104}]"
tampilkan data mahasiswa,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}]"
tampilkan nama mahasiswa,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Tampilkan NIM mahasiswa,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Tampilkan data NIM seluruh mahasiswa dengan angkatan 2018,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999998807907104}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999998807907104}]"
tampilkan mahasiswa,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Tampilkan tahun angkatan dari mahasiswa,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}]"
Tolong cari daftar nama mahasiswa,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999997615814209}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999997615814209}]"
Siapa saja mahasiswa teknik informatika reguler angkatan 2018,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
tampilkan mahasiswa dengan program studi Bilingual angkatan 2018 ?,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
lihat mahasiswa yang nimnya 10113005,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}]"
tampilkan nim mahasiswa yang namanya jamal,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Tampilkan daftar angkatan dari mahasiswa secara unik,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999999403953552}]"
Tampilkan daftar jurusan dari mahasiswa secara unik,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999993443489075}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999993443489075}]"
Tampilkan daftar nama mahasiswa dengan jurusan berakhiran kata Informatika dan program studi Reguler dan tahun angkatan 2015,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
Tampilkan daftar nama mahasiswa yang berjenis kelamin perempuan pada jurusan TI angkatan 2018,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
temukan angkatan mahasiswa secara unik,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999998211860657}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999998211860657}]"
tampilkan nama dan nilai suliet dari mahasiswa urutkan berdasarkan nilai suliet meningkat,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999669790267944}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999669790267944}]"
berikan data mahasiswa dengan ipk 4,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999887943267822}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999887943267822}]"
Berikan daftar nama mahasiswa yang berjenis kelamin perempuan angkatan 2020,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 1.0}, {'name': 'TanyaMahasiswa', 'confidence': 1.0}]"
sebutkan nomor induk mahasiswa dan nama dari mahasiswa yang berangkatan dibawah 2019,TanyaMahasiswa,"[{'name': 'TanyaMahasiswa', 'confidence': 0.9999998807907104}, {'name': 'TanyaMahasiswa', 'confidence': 0.9999998807907104}]"
sebutkan nama mata kuliah pada semester 6 urutkan berdasarkan nama dan batasi 9 data secara unik,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999971985816956}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999971985816956}]"
tampilkan nama matakuliah dengan kode diakhiri angka 10 batasi 2 data,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999994039535522}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999994039535522}]"
tampilkan nama dosen dengan nama diawali huruf a dan nip diawali angka 1 urutkan berdasarkan nip batasi 5 data secara unik,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999998211860657}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999998211860657}]"
temukan data dosen batasi 5 data,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999960660934448}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999960660934448}]"
temukan data dosen urutkan berdasarkan nip meningkat nama menurun,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999823570251465}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999823570251465}]"
tampilkan nama mahasiswa secara unik yang memiliki nim berawalan 090210 atau nim berawalan 090211 dan angkatan 2018 atau angkatan diatas angkatan 2019 dengan jenis kelamin laki laki batasi 5 data urutkan berdasarkan nim,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999994039535522}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999994039535522}]"
temukan secara unik nama dan nilai usept dari mahasiswa yang nilai useptnya 500 urutkan berdasarkan nama menurun,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999979734420776}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999979734420776}]"
"Tampilkan ipk , dan nama mahasiswa yang berangkatan 2018 urutkan berdasarkan ipk menurun batasi 10 data",TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999990463256836}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999990463256836}]"
Tampilkan nama mahasiswa dengan IPK lebih besar dari tiga batasi 5 data,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999999403953552}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999999403953552}]"
Tolong carikan nama mahasiswa yang angkatan 2018 urutkan berdasarkan NIM secara menurun,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999741911888123}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999741911888123}]"
Tolong temukan data mahasiswa dengan angkatan dibawah 2018 batasi 10 data,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999998807907104}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999998807907104}]"
tampilkan data mahasiswa dengan nama mengandung kata awan dan tahun angkatan 2018 atau angkatan 2019,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.999997615814209}, {'name': 'TanyaDenganKondisi', 'confidence': 0.999997615814209}]"
temukan data mahasiswa yang memiliki nama mengandung kata adi atau nama berakhiran huruf a ipk diatas tiga ?,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999999403953552}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999999403953552}]"
sebutkan mahasiswa yang nilai sulietnya 500,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.999993085861206}, {'name': 'TanyaDenganKondisi', 'confidence': 0.999993085861206}]"
tampilkan mahasiswa dengan nim diatas 0902 dan angkatan dibawah 2018,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999990463256836}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999990463256836}]"
tampilkan nama mahasiswa dengan nilai suliet lebih besar dari lima ratus,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999991655349731}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999991655349731}]"
Berikan data mahasiswa dengan IPK kurang dari tiga,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999992847442627}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999992847442627}]"
Berikan data mahasiswa dengan IPK lebih dari tiga,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999997615814209}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999997615814209}]"
Cari data mahasiswa yang memiliki nilai Suliet lebih dari enam ratus,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999988079071045}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999988079071045}]"
siapa mahasiswa dengan ipk dibawah dua,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999986886978149}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999986886978149}]"
Tampilkan mahasiswa dengan IPK diatas tiga,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999998807907104}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999998807907104}]"
temukan mahasiswa dengan nama berawalan kata adi dan angkatan 2018 atau lebih besar dari angkatan 2018,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 1.0}, {'name': 'TanyaDenganKondisi', 'confidence': 1.0}]"
Tampilkan daftar nama mahasiswa yang memiliki ipk lebih besar tiga koma lima,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999995827674866}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999995827674866}]"
temukan daftar mahasiswa dengan [angkatan 2018] dan jurusan teknik informatika,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 0.9999940395355225}, {'name': 'TanyaDenganKondisi', 'confidence': 0.9999940395355225}]"
tampilkan daftar nama mahasiswa dari jurusan ti yang nilai sulietnya diatas lima ratus dan angkatan diatas angkatan 2018,TanyaDenganKondisi,"[{'name': 'TanyaDenganKondisi', 'confidence': 1.0}, {'name': 'TanyaDenganKondisi', 'confidence': 1.0}]"
